id,Time,Event
14876,-,no commentary
14877,-,no commentary
14879,-,no commentary
14878,-,no commentary
14880,-,no commentary
14881,-,no commentary
14882,-,no commentary
14883,-,no commentary
14884,-,no commentary
14885,-,no commentary
14886,-,no commentary
14887,-,no commentary
14888,-,no commentary
14889,-,no commentary
14890,-,no commentary
14893,-,no commentary
14892,-,no commentary
14891,-,no commentary
14894,-,no commentary
14896,-,no commentary
14895,-,no commentary
14897,-,no commentary
15067,-,no commentary
14899,-,no commentary
14900,-,no commentary
14901,-,no commentary
14902,-,no commentary
14903,-,no commentary
14904,-,no commentary
14905,-,no commentary
14906,-,no commentary
14907,-,no commentary
14908,-,no commentary
14909,-,no commentary
14910,-,no commentary
14911,-,no commentary
14912,-,no commentary
14913,-,no commentary
14914,-,no commentary
14915,-,no commentary
14916,-,no commentary
14917,-,no commentary
14918,-,no commentary
14919,-,no commentary
14920,-,no commentary
14921,-,no commentary
14922,-,no commentary
14923,-,no commentary
14924,-,no commentary
14925,-,no commentary
14926,-,no commentary
14927,-,no commentary
14929,-,no commentary
14930,-,no commentary
14931,-,no commentary
14932,-,no commentary
14933,-,no commentary
14934,-,no commentary
14935,-,no commentary
14936,-,no commentary
14937,-,no commentary
14938,-,no commentary
14939,-,no commentary
14941,-,no commentary
14942,-,no commentary
14943,-,no commentary
14944,-,no commentary
14945,-,no commentary
14946,-,no commentary
14947,-,no commentary
15068,-,no commentary
14949,-,no commentary
14950,-,no commentary
14951,-,no commentary
14952,-,no commentary
14953,-,no commentary
14954,-,no commentary
14955,-,no commentary
14956,-,no commentary
14957,-,no commentary
14958,-,no commentary
14959,-,no commentary
14962,-,no commentary
14960,-,no commentary
14963,-,no commentary
14964,-,no commentary
14965,-,no commentary
15070,-,no commentary
14966,-,no commentary
15069,-,no commentary
14969,-,no commentary
14970,-,no commentary
14971,-,no commentary
14972,-,no commentary
14973,-,no commentary
14975,-,no commentary
14974,-,no commentary
14976,-,no commentary
14977,-,no commentary
14978,-,no commentary
14979,-,no commentary
14980,-,no commentary
14981,-,no commentary
14982,-,no commentary
14983,-,no commentary
14984,-,no commentary
14985,-,no commentary
14986,-,no commentary
14987,-,no commentary
14988,-,no commentary
14989,-,no commentary
14990,-,no commentary
14991,-,no commentary
14992,-,no commentary
15071,-,no commentary
13690,-,no commentary
13691,-,no commentary
13692,-,no commentary
13693,-,no commentary
13694,-,no commentary
13695,-,no commentary
13696,-,no commentary
13697,-,no commentary
13698,-,no commentary
13699,-,no commentary
13700,-,no commentary
13701,-,no commentary
13702,-,no commentary
13703,-,no commentary
13704,-,no commentary
13705,-,no commentary
13707,-,no commentary
13706,-,no commentary
13708,-,no commentary
13709,-,no commentary
13710,-,no commentary
13711,-,no commentary
13712,-,no commentary
13713,-,no commentary
13714,-,no commentary
13715,-,no commentary
13716,-,no commentary
13717,-,no commentary
13718,-,no commentary
13719,-,no commentary
13720,-,no commentary
13721,-,no commentary
13726,-,no commentary
13722,-,no commentary
13723,-,no commentary
13724,-,no commentary
13725,-,no commentary
13727,-,no commentary
13728,-,no commentary
13729,-,no commentary
13730,-,no commentary
13731,-,no commentary
13732,-,no commentary
15848,-,no commentary
15849,-,no commentary
15850,-,no commentary
15851,-,no commentary
16341,-,no commentary
15852,-,no commentary
16342,-,no commentary
15853,-,no commentary
17077,-,no commentary
17404,-,no commentary
17076,-,no commentary
17677,-,no commentary
17678,-,no commentary
24652,-,no commentary
17679,-,no commentary
24653,-,no commentary
24654,-,no commentary
24766,-,no commentary
45739,-,no commentary
45740,-,no commentary
45741,-,no commentary
45742,-,no commentary
45743,-,no commentary
45744,-,no commentary
45745,-,no commentary
45746,-,no commentary
46899,-,no commentary
45748,-,no commentary
45749,-,no commentary
45747,-,no commentary
45750,-,no commentary
45751,-,no commentary
45752,-,no commentary
45753,-,no commentary
47708,-,no commentary
47710,-,no commentary
47709,-,no commentary
47711,-,no commentary
47712,-,no commentary
47713,-,no commentary
47714,-,no commentary
47715,-,no commentary
47716,-,no commentary
47717,-,no commentary
47718,-,no commentary
47719,-,no commentary
47720,-,no commentary
47721,-,no commentary
47722,-,no commentary
47723,-,no commentary
47724,-,no commentary
47726,-,no commentary
47725,-,no commentary
47727,-,no commentary
47728,-,no commentary
47729,-,no commentary
47730,-,no commentary
47731,-,no commentary
47732,-,no commentary
47733,-,no commentary
47735,-,no commentary
47734,-,no commentary
47736,-,no commentary
47737,-,no commentary
47738,-,no commentary
47739,-,no commentary
47740,-,no commentary
47741,-,no commentary
47742,-,no commentary
47743,-,no commentary
47744,-,no commentary
47745,-,no commentary
47746,-,no commentary
47747,-,no commentary
47748,-,no commentary
47749,-,no commentary
47750,-,no commentary
47752,-,no commentary
47751,-,no commentary
47753,-,no commentary
47754,-,no commentary
47755,-,no commentary
47756,-,no commentary
47757,-,no commentary
47759,-,no commentary
47758,-,no commentary
47760,-,no commentary
47761,-,no commentary
47762,-,no commentary
47763,-,no commentary
47764,-,no commentary
47765,-,no commentary
47766,-,no commentary
47767,-,no commentary
47769,-,no commentary
47768,-,no commentary
47770,-,no commentary
47771,-,no commentary
47772,-,no commentary
47774,-,no commentary
47773,-,no commentary
47775,-,no commentary
47776,-,no commentary
47777,-,no commentary
47778,-,no commentary
47779,-,no commentary
47781,-,no commentary
47780,-,no commentary
47783,-,no commentary
47782,-,no commentary
47784,-,no commentary
47785,-,no commentary
47786,-,no commentary
47787,-,no commentary
47788,-,no commentary
47789,-,no commentary
47790,-,no commentary
47791,-,no commentary
47792,-,no commentary
47793,-,no commentary
47795,-,no commentary
47796,-,no commentary
47797,-,no commentary
47798,-,no commentary
47799,-,no commentary
47800,-,no commentary
47801,-,no commentary
47802,-,no commentary
47804,-,no commentary
47803,-,no commentary
47805,-,no commentary
47806,-,no commentary
47807,-,no commentary
47808,-,no commentary
47809,-,no commentary
47810,-,no commentary
47811,-,no commentary
47812,-,no commentary
47814,-,no commentary
47813,-,no commentary
47815,-,no commentary
47816,-,no commentary
47817,-,no commentary
47818,-,no commentary
47819,-,no commentary
47820,-,no commentary
47821,-,no commentary
62548,-,no commentary
47823,-,no commentary
47822,-,no commentary
47824,-,no commentary
47825,-,no commentary
47826,-,no commentary
47827,-,no commentary
47829,-,no commentary
47828,-,no commentary
47830,-,no commentary
47831,-,no commentary
66704,-,no commentary
66702,-,no commentary
66703,-,no commentary
66705,-,no commentary
66706,-,no commentary
66707,-,no commentary
66708,-,no commentary
66709,-,no commentary
68343,-,no commentary
68344,-,no commentary
68342,-,no commentary
68564,-,no commentary
68565,-,no commentary
68566,-,no commentary
68567,-,no commentary
68812,-,no commentary
69458,-,no commentary
95708,-,no commentary
95709,-,no commentary
95710,-,no commentary
95711,-,no commentary
95712,-,no commentary
95713,-,no commentary
95714,-,no commentary
95715,-,no commentary
95716,-,no commentary
95717,-,no commentary
95718,-,no commentary
95719,-,no commentary
95720,-,no commentary
95721,-,no commentary
95722,-,no commentary
95724,-,no commentary
95725,-,no commentary
95726,-,no commentary
95727,-,no commentary
95728,-,no commentary
95729,-,no commentary
95730,-,no commentary
95731,-,no commentary
95732,-,no commentary
95733,-,no commentary
95734,-,no commentary
95735,-,no commentary
95736,-,no commentary
95737,-,no commentary
95738,-,no commentary
95739,-,no commentary
95740,-,no commentary
95741,-,no commentary
95742,-,no commentary
95743,-,no commentary
95744,-,no commentary
95745,-,no commentary
95746,-,no commentary
95747,-,no commentary
95748,-,no commentary
95749,-,no commentary
95750,-,no commentary
95751,-,no commentary
95753,-,no commentary
95754,-,no commentary
95755,-,no commentary
95756,-,no commentary
95757,-,no commentary
95758,-,no commentary
95759,-,no commentary
95760,-,no commentary
95761,-,no commentary
95762,-,no commentary
95763,-,no commentary
95764,-,no commentary
95765,-,no commentary
95766,-,no commentary
95767,-,no commentary
95768,-,no commentary
95769,-,no commentary
95770,-,no commentary
95771,-,no commentary
95772,-,no commentary
95773,-,no commentary
95774,-,no commentary
95775,-,no commentary
95776,-,no commentary
95777,-,no commentary
95778,-,no commentary
95779,-,no commentary
95780,-,no commentary
95781,-,no commentary
95782,-,no commentary
95783,-,no commentary
109838,-,no commentary
95784,-,no commentary
95785,-,no commentary
95786,-,no commentary
95787,-,no commentary
95788,-,no commentary
112074,-,no commentary
95789,-,no commentary
95790,-,no commentary
95791,-,no commentary
95792,-,no commentary
95794,-,no commentary
95795,-,no commentary
95793,-,no commentary
95796,-,no commentary
95797,-,no commentary
95798,-,no commentary
95799,-,no commentary
95800,-,no commentary
95801,-,no commentary
95802,-,no commentary
95803,-,no commentary
95804,-,no commentary
95805,-,no commentary
95806,-,no commentary
95807,-,no commentary
95808,-,no commentary
95809,-,no commentary
95810,-,no commentary
95811,-,no commentary
95812,-,no commentary
95813,-,no commentary
95815,-,no commentary
95816,-,no commentary
95814,-,no commentary
95817,-,no commentary
95818,-,no commentary
95819,-,no commentary
95820,-,no commentary
95821,-,no commentary
95822,-,no commentary
95823,-,no commentary
95824,-,no commentary
95825,-,no commentary
95826,-,no commentary
95827,-,no commentary
95828,-,no commentary
95829,-,no commentary
95830,-,no commentary
95831,-,no commentary
95832,-,no commentary
95835,-,no commentary
95836,-,no commentary
95837,-,no commentary
95833,-,no commentary
120126,-,no commentary
95838,-,no commentary
95839,-,no commentary
95840,-,no commentary
95841,-,no commentary
95842,-,no commentary
95845,-,no commentary
95846,-,no commentary
95847,-,no commentary
95843,-,no commentary
95844,-,no commentary
95848,-,no commentary
95849,-,no commentary
95850,-,no commentary
95851,-,no commentary
95852,-,no commentary
95853,-,no commentary
95854,-,no commentary
95855,-,no commentary
95856,-,no commentary
95857,-,no commentary
130650,-,no commentary
130651,-,no commentary
130649,-,no commentary
130684,-,no commentary
130758,-,no commentary
130759,-,no commentary
130760,-,no commentary
130761,-,no commentary
131171,-,no commentary
131172,-,no commentary
131427,-,no commentary
143898,-,no commentary
143902,-,no commentary
143899,-,no commentary
143901,-,no commentary
143900,-,no commentary
143903,-,no commentary
